Server Name,File Name,Config Type,Docker Permutation Key,Install Success,Logs Retrieved,Ping Success,Error,Timestamp
aashari__mcp-server-atlassian-confluence,aashari__mcp-server-atlassian-confluence.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:42:07.255Z
aashari__mcp-server-atlassian-jira,aashari__mcp-server-atlassian-jira.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:42:07.255Z
aashari__mcp-server-aws-sso,aashari__mcp-server-aws-sso.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:42:07.255Z
abdelstark__bitcoin-mcp,abdelstark__bitcoin-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:42:07.255Z
abdelstark__nostr-mcp,abdelstark__nostr-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:42:07.255Z
abhiemj__manim-mcp-server,abhiemj__manim-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:42:07.255Z
abrinsmead__mindpilot-mcp,abrinsmead__mindpilot-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.540Z
ac3xx__mcp-servers-kagi,ac3xx__mcp-servers-kagi.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.541Z
adawalli__nexus,adawalli__nexus.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.542Z
adeptus-innovatio__solvitor-mcp,adeptus-innovatio__solvitor-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.542Z
adhikasp__mcp-git-ingest,adhikasp__mcp-git-ingest.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:43:08.542Z
adhikasp__mcp-twikit,adhikasp__mcp-twikit.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:43:08.542Z
admica__filescopemcp,admica__filescopemcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.542Z
agentmail-to__agentmail-toolkit__mcp,agentmail-to__agentmail-toolkit__mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:43:08.542Z
ahnlabio__bicscan-mcp,ahnlabio__bicscan-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:43:08.542Z
ahujasid__blender-mcp,ahujasid__blender-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:43:08.542Z
aikts__yandex-tracker-mcp,aikts__yandex-tracker-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.411Z
aim-intelligence__aim-mcp,aim-intelligence__aim-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:44:10.412Z
aiven-open__mcp-aiven,aiven-open__mcp-aiven.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.412Z
akramiot__mcp_ai_soc_sher,akramiot__mcp_ai_soc_sher.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.412Z
akseyh__bear-mcp-server,akseyh__bear-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.412Z
alchemyplatform__alchemy-mcp-server,alchemyplatform__alchemy-mcp-server.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:44:10.412Z
alexander-zuev__supabase-mcp-server,alexander-zuev__supabase-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.412Z
alexbakers__mcp-ipfs,alexbakers__mcp-ipfs.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:44:10.412Z
alexei-led__aws-mcp-server,alexei-led__aws-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.413Z
alexei-led__k8s-mcp-server,alexei-led__k8s-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:44:10.413Z
alfonsograziano__node-code-sandbox-mcp,alfonsograziano__node-code-sandbox-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:45:11.957Z
alimo7amed93__webhook-tester-mcp,alimo7amed93__webhook-tester-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
aliyun__alibaba-cloud-ops-mcp-server,aliyun__alibaba-cloud-ops-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
aliyun__alibabacloud-tablestore-mcp-server,aliyun__alibabacloud-tablestore-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
allenporter__mcp-server-home-assistant,allenporter__mcp-server-home-assistant.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
altinoren__utopia,altinoren__utopia.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
ambar__simctl-mcp,ambar__simctl-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:45:11.957Z
amidabuddha__unichat-mcp-server,amidabuddha__unichat-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
amineelkouhen__mcp-cockroachdb,amineelkouhen__mcp-cockroachdb.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:45:11.957Z
anaisbetts__mcp-installer,anaisbetts__mcp-installer.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:45:11.958Z
anaisbetts__mcp-youtube,anaisbetts__mcp-youtube.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:46:13.506Z
ananddtyagi__gif-creator-mcp,ananddtyagi__gif-creator-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.506Z
ananddtyagi__webpage-screenshot-mcp,ananddtyagi__webpage-screenshot-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.506Z
andybrandt__mcp-simple-arxiv,andybrandt__mcp-simple-arxiv.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.506Z
andybrandt__mcp-simple-openai-assistant,andybrandt__mcp-simple-openai-assistant.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
andybrandt__mcp-simple-pubmed,andybrandt__mcp-simple-pubmed.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
andybrandt__mcp-simple-timeserver,andybrandt__mcp-simple-timeserver.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
angheljf__nyt,angheljf__nyt.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
anjor__coinmarket-mcp-server,anjor__coinmarket-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
ankitmalik84__agentic_longterm_memory__src__notion_mcp_server,ankitmalik84__agentic_longterm_memory__src__notion_mcp_server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:46:13.507Z
antvis__mcp-server-chart,antvis__mcp-server-chart.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:47:15.127Z
anwerj__youtube-uploader-mcp,anwerj__youtube-uploader-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.127Z
apecloud__aperag,apecloud__aperag.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.127Z
api7__apisix-mcp,api7__apisix-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:47:15.127Z
apify__actors-mcp-server,apify__actors-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.127Z
apify__mcp-server-rag-web-browser,apify__mcp-server-rag-web-browser.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:47:15.127Z
apinetwork__piapi-mcp-server,apinetwork__piapi-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.127Z
araa47__jupiter-mcp,araa47__jupiter-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.127Z
archai-labs__fastmcp-sonarqube-metrics,archai-labs__fastmcp-sonarqube-metrics.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.128Z
areweai__tsgram-mcp,areweai__tsgram-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:47:15.128Z
ariadng__metatrader-mcp-server,ariadng__metatrader-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.885Z
armorwallet__armor-crypto-mcp,armorwallet__armor-crypto-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:48:16.885Z
arpitbatra123__mcp-googletasks,arpitbatra123__mcp-googletasks.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.885Z
arrismo__kaggle-mcp,arrismo__kaggle-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.885Z
artmann__package-registry-mcp,artmann__package-registry-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:48:16.885Z
atomicchonk__roadrecon_mcp_server,atomicchonk__roadrecon_mcp_server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.885Z
automata-labs-team__mcp-server-playwright,automata-labs-team__mcp-server-playwright.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:48:16.885Z
automateyournetwork__pyats_mcp,automateyournetwork__pyats_mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.886Z
automation-ai-labs__mcp-link,automation-ai-labs__mcp-link.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:48:16.886Z
awkoy__replicate-flux-mcp,awkoy__replicate-flux-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:48:16.886Z
awslabs__mcp,awslabs__mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
awwaiid__mcp-server-taskwarrior,awwaiid__mcp-server-taskwarrior.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:49:18.400Z
axliupore__mcp-code-runner,axliupore__mcp-code-runner.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
aymericzip__intlayer,aymericzip__intlayer.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
aywengo__kafka-schema-reg-mcp,aywengo__kafka-schema-reg-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
azer__react-analyzer-mcp,azer__react-analyzer-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
azure__azure-mcp,azure__azure-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
badhansen__notion-mcp,badhansen__notion-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
bankless__onchain-mcp,bankless__onchain-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:49:18.400Z
bart6114__my-bear-mcp-server,bart6114__my-bear-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:49:18.400Z
base__base-mcp,base__base-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
benborla__mcp-server-mysql,benborla__mcp-server-mysql.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
berlinbra__alpha-vantage-mcp,berlinbra__alpha-vantage-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
bgauryy__octocode-mcp,bgauryy__octocode-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:50:19.759Z
biegehydra__bifrostmcp,biegehydra__bifrostmcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
bigsy__clojars-mcp-server,bigsy__clojars-mcp-server.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:50:19.759Z
billster45__mcp-chatgpt-responses,billster45__mcp-chatgpt-responses.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
bitteprotocol__mcp,bitteprotocol__mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
bivex__kanboard-mcp,bivex__kanboard-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
blackwhite084__playwright-plus-python-mcp,blackwhite084__playwright-plus-python-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:50:19.759Z
blazickjp__arxiv-mcp-server,blazickjp__arxiv-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.079Z
blurrah__mcp-graphql,blurrah__mcp-graphql.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
bogdan01m__zapcap-mcp-server,bogdan01m__zapcap-mcp-server.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:51:21.080Z
boldsign__boldsign-mcp,boldsign__boldsign-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:51:21.080Z
bram2w__baserow,bram2w__baserow.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
briandconnelly__mcp-server-ipinfo,briandconnelly__mcp-server-ipinfo.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:51:21.080Z
brianxiadong__ones-wiki-mcp-server,brianxiadong__ones-wiki-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
bright-l01__networkx-mcp-server,bright-l01__networkx-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
bright8192__esxi-mcp-server,bright8192__esxi-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
browserbase__mcp-server-browserbase,browserbase__mcp-server-browserbase.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:51:21.080Z
browsermcp__mcp,browsermcp__mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.834Z
bucketco__bucket-javascript-sdk__packages__cli-model-context-protocol,bucketco__bucket-javascript-sdk__packages__cli-model-context-protocol.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.835Z
bucketco__bucket-javascript-sdk__packages__cli,bucketco__bucket-javascript-sdk__packages__cli.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.836Z
burningion__video-editing-mcp,burningion__video-editing-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.836Z
burtthecoder__mcp-dnstwist,burtthecoder__mcp-dnstwist.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.836Z
burtthecoder__mcp-maigret,burtthecoder__mcp-maigret.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.836Z
burtthecoder__mcp-shodan,burtthecoder__mcp-shodan.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:52:22.837Z
burtthecoder__mcp-virustotal,burtthecoder__mcp-virustotal.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.837Z
bytebase__dbhub,bytebase__dbhub.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.837Z
bytedance__ui-tars-desktop__packages__agent-infra__mcp-servers__browser,bytedance__ui-tars-desktop__packages__agent-infra__mcp-servers__browser.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:52:22.837Z
c4pt0r__mcp-server-tidb,c4pt0r__mcp-server-tidb.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.577Z
cactusinhand__mcp_server_notify,cactusinhand__mcp_server_notify.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
calclavia__mcp-obsidian,calclavia__mcp-obsidian.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
campertunity__mcp-server,campertunity__mcp-server.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:53:24.578Z
canner__wren-engine,canner__wren-engine.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
cantian-ai__bazi-mcp,cantian-ai__bazi-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:53:24.578Z
caol64__wenyan-mcp,caol64__wenyan-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
carsol__monarch-mcp-server,carsol__monarch-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
carterlasalle__mac_messages_mcp,carterlasalle__mac_messages_mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
centralmind__gateway,centralmind__gateway.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:53:24.578Z
chanmeng666__server-google-news,chanmeng666__server-google-news.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.153Z
chargebee__agentkit__modelcontextprotocol,chargebee__agentkit__modelcontextprotocol.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:54:26.154Z
chatmcp__mcp-server-chatsum,chatmcp__mcp-server-chatsum.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
chemiguel23__memorymesh,chemiguel23__memorymesh.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
chigwell__telegram-mcp,chigwell__telegram-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
chrishayuk__mcp-cli,chrishayuk__mcp-cli.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
christianhinge__dicom-mcp,christianhinge__dicom-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
chroma-core__chroma-mcp,chroma-core__chroma-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:54:26.154Z
chronulusai__chronulus-mcp,chronulusai__chronulus-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:54:26.154Z
chunkydotdev__bldbl-mcp,chunkydotdev__bldbl-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:54:26.155Z
circleci-public__mcp-server-circleci,circleci-public__mcp-server-circleci.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:55:27.669Z
cjo4m06__mcp-shrimp-task-manager,cjo4m06__mcp-shrimp-task-manager.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
ckanthony__gin-mcp,ckanthony__gin-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
ckanthony__openapi-mcp,ckanthony__openapi-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
ckreiling__mcp-server-docker,ckreiling__mcp-server-docker.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
clickhouse__mcp-clickhouse,clickhouse__mcp-clickhouse.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
cloudbet__sports-mcp-server,cloudbet__sports-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
cloudflare__mcp-server-cloudflare,cloudflare__mcp-server-cloudflare.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
co-browser__attestable-mcp-server,co-browser__attestable-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
co-browser__browser-use-mcp-server,co-browser__browser-use-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:55:27.670Z
cobanov__teslamate-mcp,cobanov__teslamate-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.067Z
codelogicincengineering__codelogic-mcp-server,codelogicincengineering__codelogic-mcp-server.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:56:29.067Z
codergamester__mcp-unity,codergamester__mcp-unity.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
codex-data__codex-mcp,codex-data__codex-mcp.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:56:29.068Z
coding-solo__godot-mcp,coding-solo__godot-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
comet-ml__opik-mcp,comet-ml__opik-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
conechoai__openai-websearch-mcp,conechoai__openai-websearch-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
confluentinc__mcp-confluent,confluentinc__mcp-confluent.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
couchbase-ecosystem__mcp-server-couchbase,couchbase-ecosystem__mcp-server-couchbase.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
cqfn__aibolit-mcp-server,cqfn__aibolit-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:56:29.068Z
cr7258__elasticsearch-mcp-server,cr7258__elasticsearch-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.304Z
crystaldba__postgres-mcp,crystaldba__postgres-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
cswkim__discogs-mcp-server,cswkim__discogs-mcp-server.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:57:20.305Z
currents-dev__currents-mcp,currents-dev__currents-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:57:20.305Z
cyberchitta__llm-context-py,cyberchitta__llm-context-py.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
cyclops-ui__mcp-cyclops,cyclops-ui__mcp-cyclops.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
dagger__container-use,dagger__container-use.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
daisys-ai__daisys-mcp,daisys-ai__daisys-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
danhilse__notion_mcp,danhilse__notion_mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
danielkennedy1__pdf-tools-mcp,danielkennedy1__pdf-tools-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:57:20.305Z
danielpeter-99__calcom-mcp,danielpeter-99__calcom-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.861Z
dappierai__dappier-mcp,dappierai__dappier-mcp.json,server,,TRUE,TRUE,FALSE,Error indicators found in logs,2025-09-08T15:58:21.861Z
data-everything__mcp-server-templates,data-everything__mcp-server-templates.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.861Z
dataeval__dingo,dataeval__dingo.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.861Z
datalayer__jupyter-mcp-server,datalayer__jupyter-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.861Z
dataring-engineering__mcp-server-trino,dataring-engineering__mcp-server-trino.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.862Z
dave-wind__mysql-mcp-server,dave-wind__mysql-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.862Z
davidlin2k__pox-mcp-server,davidlin2k__pox-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.862Z
dbt-labs__dbt-mcp,dbt-labs__dbt-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.862Z
ddsky__gamebrain-api-clients,ddsky__gamebrain-api-clients.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:58:21.862Z
ddukbg__github-enterprise-mcp,ddukbg__github-enterprise-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.416Z
deadletterq__mcp-opennutrition,deadletterq__mcp-opennutrition.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.416Z
dealexpress__mcp-server,dealexpress__mcp-server.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:59:23.417Z
delano__postman-mcp-server,delano__postman-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
designcomputer__mysql_mcp_server,designcomputer__mysql_mcp_server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
devflowinc__trieve__clients__mcp-server,devflowinc__trieve__clients__mcp-server.json,server,,TRUE,TRUE,TRUE,,2025-09-08T15:59:23.417Z
devilcoder01__weather-mcp-server,devilcoder01__weather-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
diivi__aseprite-mcp,diivi__aseprite-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
djalal__quran-mcp-server,djalal__quran-mcp-server.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
docker__hub-mcp,docker__hub-mcp.json,server,,FALSE,FALSE,FALSE,Request failed,2025-09-08T15:59:23.417Z
